,tau,ep_base,ep_fin,politica,id,mean_eval 0,exploracion 0,mean_eval 1,exploracion 1,mean_eval 2,exploracion 2,mean_eval 3,exploracion 3,mean_eval 4,exploracion 4,mean_eval 5,exploracion 5,mean_eval 6,exploracion 6,mean_eval 7,exploracion 7,mean_eval 8,exploracion 8,mean_eval 9,exploracion 9
12,,0.6,0.3,egreedy,4,856.0,0.2716049382716049,916.0,0.2757201646090535,913.6,0.3004115226337449,909.4,0.30246913580246915,922.0,0.31069958847736623,910.6,0.3148148148148148,823.3,0.31893004115226337,1076.7,0.3271604938271605,975.6,0.3271604938271605,856.0,0.3271604938271605
13,,0.6,0.3,egreedy,4,587.0,0.257201646090535,1030.2,0.2777777777777778,916.5,0.294238683127572,916.0,0.3004115226337449,1057.0,0.3004115226337449,921.0,0.31275720164609055,1110.8,0.3333333333333333,1085.2,0.34156378600823045,1126.9,0.3436213991769547,742.9,0.35185185185185186
14,,0.6,0.3,egreedy,4,1046.8,0.26337448559670784,925.3,0.29218106995884774,719.9,0.3065843621399177,1089.9,0.3168724279835391,1145.1,0.3168724279835391,883.0,0.33127572016460904,1099.1,0.33127572016460904,996.4,0.33127572016460904,928.0,0.3395061728395062,1033.8,0.3395061728395062
15,,0.6,0.3,egreedy,4,1113.6,0.25925925925925924,931.0,0.2777777777777778,927.6,0.2777777777777778,851.6,0.28189300411522633,713.8,0.30864197530864196,865.7,0.31069958847736623,916.0,0.31893004115226337,1044.3,0.3292181069958848,1106.2,0.3333333333333333,998.1,0.34156378600823045
16,,0.6,0.4,egreedy,5,922.0,0.2551440329218107,661.0,0.2674897119341564,756.0,0.2674897119341564,1126.2,0.2962962962962963,577.0,0.30864197530864196,553.7,0.3168724279835391,1061.7,0.31893004115226337,1089.9,0.33127572016460904,1051.0,0.3333333333333333,965.6,0.3374485596707819
17,,0.6,0.4,egreedy,5,857.0,0.26954732510288065,734.0,0.2777777777777778,1072.2,0.29012345679012347,1176.6,0.294238683127572,828.0,0.30246913580246915,583.3,0.3045267489711934,823.0,0.31275720164609055,1107.1,0.32098765432098764,1030.1,0.32510288065843623,1057.5,0.3292181069958848
18,,0.6,0.4,egreedy,5,1052.1,0.294238683127572,758.0,0.3045267489711934,1027.0,0.3148148148148148,1151.8,0.31893004115226337,1095.6,0.3271604938271605,741.9,0.3292181069958848,1151.8,0.33539094650205764,930.0,0.3395061728395062,1177.5,0.34156378600823045,948.5,0.3436213991769547
19,,0.6,0.4,egreedy,5,698.1,0.2613168724279835,1028.0,0.2757201646090535,966.9,0.2757201646090535,1023.3,0.3004115226337449,705.6,0.3065843621399177,1212.6,0.3168724279835391,942.0,0.3230452674897119,933.0,0.3230452674897119,562.0,0.32510288065843623,954.5,0.34156378600823045
20,,0.6,0.5,egreedy,6,559.0,0.2654320987654321,642.0,0.2777777777777778,844.0,0.294238683127572,1023.5,0.31275720164609055,677.8,0.3271604938271605,988.3,0.3271604938271605,915.3,0.3271604938271605,1100.8,0.3292181069958848,887.0,0.33127572016460904,988.6,0.33127572016460904
21,,0.6,0.5,egreedy,6,931.0,0.25925925925925924,911.0,0.2613168724279835,844.0,0.2613168724279835,830.0,0.28189300411522633,1160.9,0.29218106995884774,997.3,0.294238683127572,895.0,0.3148148148148148,1096.2,0.3148148148148148,976.7,0.31893004115226337,1182.6,0.3271604938271605
22,,0.6,0.5,egreedy,6,964.0,0.23045267489711935,859.0,0.28189300411522633,899.1,0.2880658436213992,744.1,0.29835390946502055,931.0,0.3045267489711934,611.0,0.30864197530864196,992.1,0.31275720164609055,908.3,0.32098765432098764,626.6,0.32098765432098764,1045.7,0.3271604938271605
23,,0.6,0.5,egreedy,6,547.0,0.2674897119341564,560.0,0.26954732510288065,961.8,0.26954732510288065,951.1,0.28189300411522633,884.9,0.2962962962962963,711.3,0.30246913580246915,1043.7,0.30246913580246915,1004.2,0.3045267489711934,649.0,0.32098765432098764,874.3,0.3230452674897119
24,,0.75,0.3,egreedy,7,596.0,0.257201646090535,802.0,0.27983539094650206,1020.5,0.28189300411522633,924.0,0.29835390946502055,1151.8,0.3004115226337449,1099.8,0.3004115226337449,1196.3,0.3004115226337449,713.7,0.3230452674897119,735.9,0.3292181069958848,919.3,0.3333333333333333
25,,0.75,0.3,egreedy,7,889.0,0.26954732510288065,917.6,0.27983539094650206,535.0,0.294238683127572,1050.8,0.3004115226337449,911.0,0.30864197530864196,916.0,0.30864197530864196,1011.2,0.32098765432098764,927.0,0.32098765432098764,1131.0,0.3271604938271605,1065.1,0.3436213991769547
26,,0.75,0.3,egreedy,7,721.4,0.24691358024691357,607.2,0.24897119341563786,1050.2,0.25102880658436216,920.0,0.257201646090535,849.0,0.25925925925925924,518.0,0.2757201646090535,888.0,0.27983539094650206,939.0,0.29218106995884774,1020.5,0.3065843621399177,532.0,0.30864197530864196
27,,0.75,0.3,egreedy,7,894.2,0.24691358024691357,903.0,0.2716049382716049,549.0,0.28600823045267487,557.0,0.3004115226337449,831.2,0.3045267489711934,883.0,0.32098765432098764,921.2,0.32098765432098764,753.0,0.3292181069958848,1052.6,0.345679012345679,554.0,0.3497942386831276
28,,0.75,0.4,egreedy,8,755.0,0.257201646090535,1089.0,0.2674897119341564,767.6,0.2716049382716049,724.0,0.28189300411522633,545.0,0.28600823045267487,679.9,0.28600823045267487,885.0,0.28600823045267487,927.0,0.30246913580246915,1053.9,0.3045267489711934,1087.2,0.3065843621399177
29,,0.75,0.4,egreedy,8,532.0,0.25308641975308643,1050.1,0.2674897119341564,876.0,0.2674897119341564,1212.0,0.2674897119341564,606.0,0.26954732510288065,809.0,0.2839506172839506,915.0,0.30246913580246915,884.9,0.3045267489711934,679.6,0.3045267489711934,870.0,0.3045267489711934
30,,0.75,0.4,egreedy,8,1046.2,0.257201646090535,1022.6,0.25925925925925924,877.0,0.28189300411522633,873.0,0.28189300411522633,1027.0,0.28189300411522633,1133.5,0.28189300411522633,542.4,0.28189300411522633,837.0,0.30246913580246915,916.0,0.3045267489711934,1187.7,0.3045267489711934
31,,0.75,0.4,egreedy,8,1232.4,0.2551440329218107,1104.8,0.26337448559670784,811.0,0.27983539094650206,1020.1,0.294238683127572,914.0,0.294238683127572,499.1,0.31069958847736623,921.6,0.31069958847736623,572.0,0.31069958847736623,742.0,0.3230452674897119,631.0,0.3271604938271605
32,,0.75,0.5,egreedy,9,638.0,0.2674897119341564,1073.3,0.2716049382716049,587.0,0.2757201646090535,979.1,0.294238683127572,876.0,0.294238683127572,848.0,0.294238683127572,909.0,0.294238683127572,570.0,0.2962962962962963,928.0,0.2962962962962963,843.0,0.29835390946502055
33,,0.75,0.5,egreedy,9,1060.8,0.23251028806584362,921.0,0.24897119341563786,848.0,0.2654320987654321,934.8,0.28189300411522633,1039.4,0.28600823045267487,1059.1,0.29835390946502055,910.0,0.31069958847736623,1166.7,0.3230452674897119,763.3,0.32510288065843623,1084.5,0.3333333333333333
34,,0.75,0.5,egreedy,9,924.0,0.24691358024691357,1046.0,0.2757201646090535,1084.4,0.28600823045267487,1024.5,0.2962962962962963,592.0,0.30246913580246915,492.0,0.31893004115226337,915.0,0.31893004115226337,914.0,0.31893004115226337,727.7,0.3230452674897119,784.7,0.3333333333333333
35,,0.75,0.5,egreedy,9,926.0,0.2613168724279835,946.8,0.27983539094650206,503.0,0.27983539094650206,863.0,0.28189300411522633,675.6,0.2880658436213992,1066.6,0.2880658436213992,877.0,0.29835390946502055,1093.3,0.29835390946502055,921.0,0.3045267489711934,989.8,0.3045267489711934
36,,0.9,0.3,egreedy,10,736.1,0.26337448559670784,915.0,0.2674897119341564,1057.7,0.28189300411522633,838.0,0.2839506172839506,662.0,0.29012345679012347,791.0,0.29218106995884774,1044.9,0.29218106995884774,1073.2,0.29218106995884774,1338.7,0.3004115226337449,718.6,0.3004115226337449
37,,0.9,0.3,egreedy,10,947.6,0.24691358024691357,940.0,0.2551440329218107,1110.6,0.2613168724279835,911.0,0.26337448559670784,559.0,0.26337448559670784,1069.0,0.28189300411522633,1001.6,0.28600823045267487,855.0,0.28600823045267487,874.0,0.28600823045267487,910.0,0.3004115226337449
38,,0.9,0.3,egreedy,10,1099.2,0.2757201646090535,861.0,0.27983539094650206,1216.8,0.28600823045267487,702.7,0.28600823045267487,861.0,0.28600823045267487,821.0,0.28600823045267487,1131.6,0.28600823045267487,894.0,0.2880658436213992,927.3,0.294238683127572,771.0,0.29835390946502055
39,,0.9,0.3,egreedy,10,914.0,0.2551440329218107,502.0,0.25925925925925924,571.0,0.26337448559670784,1122.2,0.26337448559670784,1056.5,0.26337448559670784,1000.2,0.26337448559670784,597.0,0.26337448559670784,1049.4,0.2674897119341564,1137.9,0.26954732510288065,1242.0,0.294238683127572
40,,0.9,0.4,egreedy,11,928.9,0.23868312757201646,915.0,0.2674897119341564,915.0,0.2674897119341564,1080.5,0.2674897119341564,561.0,0.2674897119341564,546.0,0.2674897119341564,948.0,0.2674897119341564,585.0,0.30246913580246915,590.0,0.30864197530864196,573.0,0.30864197530864196
41,,0.9,0.4,egreedy,11,906.0,0.25308641975308643,874.0,0.2716049382716049,884.0,0.2777777777777778,931.0,0.29012345679012347,999.0,0.29012345679012347,1015.8,0.29012345679012347,1011.3,0.2962962962962963,964.3,0.2962962962962963,878.0,0.2962962962962963,739.7,0.29835390946502055
42,,0.9,0.4,egreedy,11,1082.5,0.22839506172839505,842.0,0.2551440329218107,579.0,0.25925925925925924,739.0,0.25925925925925924,1192.3,0.2613168724279835,695.1,0.2716049382716049,915.0,0.2716049382716049,915.0,0.2716049382716049,1155.6,0.29218106995884774,889.0,0.294238683127572
43,,0.9,0.4,egreedy,11,910.0,0.2716049382716049,852.0,0.2777777777777778,1019.5,0.28189300411522633,675.1,0.28189300411522633,1142.0,0.2880658436213992,1075.3,0.29218106995884774,915.0,0.2962962962962963,816.0,0.2962962962962963,638.1,0.2962962962962963,1146.5,0.2962962962962963
44,,0.9,0.5,egreedy,12,907.0,0.25925925925925924,530.0,0.26954732510288065,934.2,0.26954732510288065,838.0,0.26954732510288065,1042.5,0.2757201646090535,680.4,0.2757201646090535,1157.3,0.2757201646090535,915.0,0.2757201646090535,852.0,0.2757201646090535,999.9,0.29218106995884774
45,,0.9,0.5,egreedy,12,1265.6,0.26337448559670784,579.0,0.26954732510288065,1066.2,0.2736625514403292,749.0,0.2736625514403292,1175.0,0.2736625514403292,1080.1,0.2736625514403292,922.0,0.2880658436213992,709.3,0.2880658436213992,913.0,0.29218106995884774,743.3,0.3148148148148148
46,,0.9,0.5,egreedy,12,701.2,0.2366255144032922,583.0,0.257201646090535,1116.9,0.257201646090535,566.0,0.25925925925925924,1077.1,0.25925925925925924,915.0,0.26954732510288065,1010.5,0.26954732510288065,1178.3,0.26954732510288065,1007.7,0.2716049382716049,1083.7,0.2716049382716049
47,,0.9,0.5,egreedy,12,869.0,0.2242798353909465,563.5,0.2448559670781893,1059.4,0.2613168724279835,1255.1,0.26954732510288065,754.6,0.2839506172839506,1201.2,0.28600823045267487,818.6,0.28600823045267487,911.7,0.28600823045267487,1100.9,0.3004115226337449,1092.8,0.3004115226337449
