,historial,memory,grupos,state_manager,algo,alpha,seed,train_mean,train_std,eval_mean,eval_std,eval_median,eval_p25,eval_p75,p_explorado
66,,5.0,3.0,stats_summary,SARSA,0.05,1,822.8995,170.3534367124714,916.0,0.0,916.0,916.0,916.0,0.7777777777777778
67,,5.0,3.0,stats_summary,SARSA,0.05,2,832.0295,172.78184114585073,920.0,0.0,920.0,920.0,920.0,0.7777777777777778
68,,5.0,3.0,stats_summary,SARSA,0.05,3,824.476,171.59424356312192,980.32,11.15784925512081,981.0,978.25,985.0,0.8518518518518519
69,,5.0,3.0,stats_summary,SARSA,0.1,1,840.079,173.57522219199373,920.0,0.0,920.0,920.0,920.0,0.8148148148148148
70,,5.0,3.0,stats_summary,SARSA,0.1,2,834.479,175.70036015614767,1163.68,8.49809390392928,1164.0,1158.0,1170.0,0.7777777777777778
71,,5.0,3.0,stats_summary,SARSA,0.1,3,827.583,173.1908314865426,646.08,0.5599999999999999,646.0,646.0,646.0,0.7777777777777778
72,,5.0,4.0,stats_summary,Q,0.01,1,807.1815,164.18570753189817,916.0,0.0,916.0,916.0,916.0,0.609375
73,,5.0,4.0,stats_summary,Q,0.01,2,796.4635,161.7338698842948,916.0,0.0,916.0,916.0,916.0,0.59375
74,,5.0,4.0,stats_summary,Q,0.01,3,795.882,162.68460614329803,916.0,0.0,916.0,916.0,916.0,0.625
75,,5.0,4.0,stats_summary,Q,0.05,1,819.0265,167.86623483521038,935.0,0.0,935.0,935.0,935.0,0.59375
76,,5.0,4.0,stats_summary,Q,0.05,2,819.7395,168.36794421667682,916.0,0.0,916.0,916.0,916.0,0.625
77,,5.0,4.0,stats_summary,Q,0.05,3,815.16,167.56185842846216,646.12,0.8400000000000001,646.0,646.0,646.0,0.609375
78,,5.0,4.0,stats_summary,Q,0.1,1,832.4265,172.90855270272203,828.0,0.0,828.0,828.0,828.0,0.59375
79,,5.0,4.0,stats_summary,Q,0.1,2,827.727,172.18933611289637,1096.88,33.4386841846386,1100.5,1070.25,1119.5,0.59375
80,,5.0,4.0,stats_summary,Q,0.1,3,826.829,172.81862966416554,855.0,2.4,855.0,855.0,855.0,0.609375
81,,5.0,4.0,stats_summary,SARSA,0.01,1,791.1725,159.3755619401858,916.0,0.0,916.0,916.0,916.0,0.65625
82,,5.0,4.0,stats_summary,SARSA,0.01,2,786.7035,155.96070526818605,916.0,0.0,916.0,916.0,916.0,0.640625
83,,5.0,4.0,stats_summary,SARSA,0.01,3,794.503,160.58371022927574,916.0,0.0,916.0,916.0,916.0,0.625
84,,5.0,4.0,stats_summary,SARSA,0.05,1,808.7875,168.39368261235336,556.0,0.0,556.0,556.0,556.0,0.625
85,,5.0,4.0,stats_summary,SARSA,0.05,2,811.837,167.9037653866047,828.0,0.0,828.0,828.0,828.0,0.59375
86,,5.0,4.0,stats_summary,SARSA,0.05,3,817.5335,168.75542029146797,646.0,0.0,646.0,646.0,646.0,0.625
87,,5.0,4.0,stats_summary,SARSA,0.1,1,826.312,171.89203488236447,916.0,0.0,916.0,916.0,916.0,0.578125
88,,5.0,4.0,stats_summary,SARSA,0.1,2,822.381,171.63398509327925,916.0,0.0,916.0,916.0,916.0,0.640625
89,,5.0,4.0,stats_summary,SARSA,0.1,3,820.216,174.2355484509404,948.0,0.0,948.0,948.0,948.0,0.59375
90,,5.0,5.0,stats_summary,Q,0.01,1,785.668,159.65438539545352,916.0,0.0,916.0,916.0,916.0,0.496
91,,5.0,5.0,stats_summary,Q,0.01,2,799.594,162.17561827845762,916.0,0.0,916.0,916.0,916.0,0.512
92,,5.0,5.0,stats_summary,Q,0.01,3,795.549,160.743312766037,916.0,0.0,916.0,916.0,916.0,0.56
93,,5.0,5.0,stats_summary,Q,0.05,1,818.714,168.21491076596035,829.14,0.98,829.0,829.0,829.0,0.552
94,,5.0,5.0,stats_summary,Q,0.05,2,816.788,169.94279348062983,916.0,0.0,916.0,916.0,916.0,0.528
95,,5.0,5.0,stats_summary,Q,0.05,3,821.194,170.09687934821144,916.0,0.0,916.0,916.0,916.0,0.544
96,,5.0,5.0,stats_summary,Q,0.1,1,829.466,171.28236874821647,916.0,0.0,916.0,916.0,916.0,0.52
97,,5.0,5.0,stats_summary,Q,0.1,2,820.565,168.37976355548193,827.0,0.0,827.0,827.0,827.0,0.528
98,,5.0,5.0,stats_summary,Q,0.1,3,829.524,171.48827197216724,751.0,0.0,751.0,751.0,751.0,0.536
99,,5.0,5.0,stats_summary,SARSA,0.01,1,795.7085,163.22856835661457,916.0,0.0,916.0,916.0,916.0,0.552
100,,5.0,5.0,stats_summary,SARSA,0.01,2,796.557,161.39204983827426,926.0,0.0,926.0,926.0,926.0,0.512
101,,5.0,5.0,stats_summary,SARSA,0.01,3,786.6525,160.94269086774335,916.0,0.0,916.0,916.0,916.0,0.52
102,,5.0,5.0,stats_summary,SARSA,0.05,1,812.7485,169.03325781558493,647.64,4.4799999999999995,647.0,647.0,647.0,0.544
103,,5.0,5.0,stats_summary,SARSA,0.05,2,812.0885,167.83385733441867,1047.88,24.4733651139356,1045.0,1027.5,1065.0,0.544
104,,5.0,5.0,stats_summary,SARSA,0.05,3,807.602,166.5142113935024,916.0,0.0,916.0,916.0,916.0,0.56
105,,5.0,5.0,stats_summary,SARSA,0.1,1,824.578,170.72819601928674,636.34,2.38,636.0,636.0,636.0,0.544
106,,5.0,5.0,stats_summary,SARSA,0.1,2,821.9475,173.06909817685536,823.0,0.0,823.0,823.0,823.0,0.536
107,,5.0,5.0,stats_summary,SARSA,0.1,3,821.827,172.5573645805939,1056.52,27.65302153472564,1053.0,1037.5,1076.5,0.536
108,,10.0,3.0,stats_summary,Q,0.01,1,803.905,164.01144159783487,927.0,0.0,927.0,927.0,927.0,0.7777777777777778
109,,10.0,3.0,stats_summary,Q,0.01,2,802.2785,163.63995214418148,927.0,0.0,927.0,927.0,927.0,0.7777777777777778
110,,10.0,3.0,stats_summary,Q,0.01,3,795.047,159.27254248928156,927.0,0.0,927.0,927.0,927.0,0.8148148148148148
111,,10.0,3.0,stats_summary,Q,0.05,1,829.372,171.81534162000784,916.0,0.0,916.0,916.0,916.0,0.8148148148148148
112,,10.0,3.0,stats_summary,Q,0.05,2,832.9645,172.122457104673,927.0,0.0,927.0,927.0,927.0,0.7777777777777778
113,,10.0,3.0,stats_summary,Q,0.05,3,830.2205,172.05312226097496,1151.84,20.74353875306718,1155.0,1139.0,1166.75,0.7777777777777778
114,,10.0,3.0,stats_summary,Q,0.1,1,846.032,174.79507709314927,737.0,0.0,737.0,737.0,737.0,0.8148148148148148
115,,10.0,3.0,stats_summary,Q,0.1,2,843.2135,176.43770265379788,927.0,0.0,927.0,927.0,927.0,0.7777777777777778
116,,10.0,3.0,stats_summary,Q,0.1,3,843.3215,175.18267362313546,916.0,0.0,916.0,916.0,916.0,0.8518518518518519
117,,10.0,3.0,stats_summary,SARSA,0.01,1,801.493,162.568637661143,927.0,0.0,927.0,927.0,927.0,0.8148148148148148
118,,10.0,3.0,stats_summary,SARSA,0.01,2,792.7895,158.93570772406684,916.0,0.0,916.0,916.0,916.0,0.8148148148148148
119,,10.0,3.0,stats_summary,SARSA,0.01,3,801.005,161.27255803452738,916.0,0.0,916.0,916.0,916.0,0.7777777777777778
120,,10.0,3.0,stats_summary,SARSA,0.05,1,827.628,170.69339359213643,832.08,0.5599999999999999,832.0,832.0,832.0,0.8518518518518519
121,,10.0,3.0,stats_summary,SARSA,0.05,2,826.109,173.32335422267826,736.0,0.0,736.0,736.0,736.0,0.8148148148148148
