,estrategia,n_torneo,perdida,exploracion,puntaje_torneo,puntaje_acumulado,seed
116,DuelingDQN,37,0.7974900007247925,,0,[8298],3
117,DuelingDQN,38,0.6166791915893555,,0,[8128],3
118,DuelingDQN,39,0.3543620705604553,,0,[8548],3
119,DuelingDQN,40,0.763460636138916,,0,[8493],3
120,DuelingDQN,41,0.5754331946372986,,0,[8110],1
121,DuelingDQN,42,0.3249370157718658,,0,[8317],1
122,DuelingDQN,43,0.5407786965370178,,0,[8136],1
123,DuelingDQN,44,0.4680502414703369,,0,[7573],1
124,DuelingDQN,45,0.4420195817947387,,0,[8124],1
125,DuelingDQN,46,0.3726844191551208,,0,[8462],1
126,DuelingDQN,47,0.4257470071315765,,0,[8214],1
127,DuelingDQN,48,0.3008397221565246,,0,[8127],1
128,DuelingDQN,49,0.2061037719249725,,0,[8093],1
129,DuelingDQN,50,0.3701153397560119,,0,[8116],1
130,DuelingDQN,51,0.422616958618164,,0,[8340],1
131,DuelingDQN,52,1.0513525009155271,,0,[8138],1
132,DuelingDQN,53,0.2258736193180084,,0,[8494],1
133,DuelingDQN,54,0.8736836314201355,,0,[8452],1
134,DuelingDQN,55,0.4811336100101471,,0,[8617],1
135,DuelingDQN,56,0.0711572766304016,,0,[8247],1
136,DuelingDQN,57,0.457150399684906,,0,[8476],1
137,DuelingDQN,58,0.4963023662567138,,0,[8479],1
138,DuelingDQN,59,0.3255073428153991,,0,[8201],1
139,DuelingDQN,60,0.5490450263023376,,0,[8382],1
140,DuelingDQN,61,0.2792083323001861,,0,[8587],1
141,DuelingDQN,62,0.2469940781593322,,0,[8454],1
142,DuelingDQN,63,0.4020420908927917,,0,[8311],1
143,DuelingDQN,64,0.6275534629821777,,0,[8234],1
144,DuelingDQN,65,0.1661394089460373,,0,[8738],1
145,DuelingDQN,66,0.5312967896461487,,0,[8122],1
146,DuelingDQN,67,0.1269373744726181,,0,[8265],1
147,DuelingDQN,68,0.6075813174247742,,0,[8454],1
148,DuelingDQN,69,0.5021960735321045,,0,[8192],1
149,DuelingDQN,70,0.2139869332313537,,0,[8192],1
150,DuelingDQN,71,0.2246941924095153,,0,[8091],1
151,DuelingDQN,72,0.3642758727073669,,0,[8575],1
152,DuelingDQN,73,0.2494522333145141,,0,[8724],1
153,DuelingDQN,74,0.6919256448745728,,0,[8528],1
154,DuelingDQN,75,0.3853833079338074,,0,[8082],1
155,DuelingDQN,76,0.632031261920929,,0,[8860],1
156,DuelingDQN,77,0.3817042708396911,,0,[8708],1
157,DuelingDQN,78,0.0496206954121589,,0,[8621],1
158,DuelingDQN,79,0.184822142124176,,0,[8807],1
159,DuelingDQN,80,0.1602465212345123,,0,[8895],1
160,DuelingDQN,81,0.1610332727432251,,0,[8831],1
161,DuelingDQN,82,0.4491820335388183,,0,[8827],1
162,DuelingDQN,83,0.435533732175827,,0,[8338],1
