,estrategia,n_torneo,perdida,exploracion,puntaje_torneo,puntaje_acumulado,seed
58,A2C,19,-0.0003995995793957,,0,[6770],1
59,A2C,20,6.247571582207456e-05,,0,[6834],1
60,A2C,21,-2.041190327872755e-06,,0,[7019],1
61,A2C,22,8.68055248260498,,0,[6830],1
62,A2C,23,88.32440948486328,,0,[6893],1
63,A2C,24,-1.2344371498329565e-06,,0,[6901],1
64,A2C,25,0.5350111722946167,,0,[6688],1
65,A2C,26,-0.0006704191910102,,0,[7333],1
66,A2C,27,0.7581079006195068,,0,[6934],1
67,A2C,28,12.342217445373535,,0,[6874],1
68,A2C,29,-6.537653263194444e-08,,0,[7954],1
69,A2C,30,-3.315004960313672e-06,,0,[7808],1
70,A2C,31,-2.534475925131119e-06,,0,[6671],1
71,A2C,32,0.000168830883922,,0,[6973],1
72,A2C,33,-1.351882133349136e-06,,0,[6795],1
73,A2C,34,7.488099981856067e-06,,0,[6874],1
74,A2C,35,8.61331558227539,,0,[6906],1
75,A2C,36,2.2805468624653716e-10,,0,[6868],1
76,A2C,37,-4.45918324487593e-09,,0,[6987],1
77,A2C,38,-1.0591677437332692e-06,,0,[7050],1
78,A2C,39,-3.789282665422888e-09,,0,[6895],1
79,A2C,40,143.67893981933594,,0,[6835],1
80,A2C,1,-5.772287181571301e-07,,0,[6895],3
81,A2C,2,2.9182538128225133e-06,,0,[6880],3
82,A2C,3,-1.2647105904761702e-06,,0,[6956],3
83,A2C,4,-2.838480941136368e-05,,0,[8996],3
84,A2C,5,-1.099773157875461e-06,,0,[7894],3
85,A2C,6,0.5370789170265198,,0,[6838],3
86,A2C,7,-2.6368965677647797e-08,,0,[6898],3
87,A2C,8,-1.0978351383528206e-07,,0,[6881],3
88,A2C,9,33.66696548461914,,0,[6902],3
89,A2C,10,-3.556445093977345e-08,,0,[6856],3
90,A2C,11,-1.4467750553137648e-08,,0,[6979],3
91,A2C,12,-3.5964074385219647e-08,,0,[7102],3
92,A2C,13,60.354522705078125,,0,[6974],3
93,A2C,14,2.617855932030011e-10,,0,[6888],3
94,A2C,15,7.401146285701543e-05,,0,[6960],3
95,A2C,16,0.0063276090659201,,0,[7947],3
96,A2C,17,-8.045248911514591e-09,,0,[8676],3
97,A2C,18,0.0363790914416313,,0,[9259],3
98,A2C,19,-4.326493865391967e-07,,0,[7016],3
99,A2C,20,-6.901508459122851e-05,,0,[6841],3
100,A2C,21,0.0022064151708036,,0,[6932],3
101,A2C,22,-2.747837788774632e-05,,0,[7006],3
102,A2C,23,-3.262338621468075e-09,,0,[6842],3
103,A2C,24,1.7511812448501587,,0,[8691],3
104,A2C,25,24.71698570251465,,0,[8702],3
105,A2C,26,-6.120594316000876e-18,,0,[8781],3
106,A2C,27,18.68749618530273,,0,[9023],3
107,A2C,28,-1.1385004654584918e-06,,0,[7121],3
108,A2C,29,-3.4972279536304995e-05,,0,[6975],3
109,A2C,30,-3.7246902593324194e-06,,0,[6935],3
110,A2C,31,7.267498668833694e-12,,0,[7179],3
111,A2C,32,-2.029017000217535e-16,,0,[9268],3
112,A2C,33,1.085051978821916e-10,,0,[9073],3
113,A2C,34,0.0001245912862941,,0,[8238],3
114,A2C,35,0.0320767015218734,,0,[9048],3
115,A2C,36,1.702049970626831,,0,[8745],3
116,A2C,37,-2.5725429384192064e-23,,0,[8914],3
117,A2C,38,-1.7121618278406008e-25,,0,[9187],3
118,A2C,39,0.3087355494499206,,0,[9208],3
119,A2C,40,51.67075729370117,,0,[9226],3
120,A2C,41,-1.0842569508895394e-06,,0,[6901],3
121,A2C,42,16.06950569152832,,0,[6920],3
122,A2C,43,-2.7412962566586433e-08,,0,[7395],3
123,A2C,44,145.95030212402344,,0,[8255],3
124,A2C,45,-6.261747231839364e-10,,0,[7354],3
125,A2C,46,-6.55097665003268e-08,,0,[6946],3
